utc,host_monotonic_seconds,memory_used_mib,gpu_utilization_pct,compute_process_count,compute_process_memory_mib
2026-09-22T09:04:11.760188+00:00,80161.421508528,1114,0,2,1100.0
2026-09-22T09:04:12.760397+00:00,80162.421717825,1114,0,2,1100.0
2026-09-22T09:04:13.760635+00:00,80163.421955579,1114,0,2,1100.0
2026-09-22T09:04:14.760844+00:00,80164.422164249,1114,0,2,1100.0
2026-09-22T09:04:15.761077+00:00,80165.42239765,1114,0,2,1100.0
2026-09-22T09:04:16.761216+00:00,80166.422538835,1114,0,2,1100.0
2026-09-22T09:04:17.761430+00:00,80167.422747575,1114,0,2,1100.0
2026-09-22T09:04:18.761636+00:00,80168.422954923,1114,0,2,1100.0
2026-09-22T09:04:19.761846+00:00,80169.423166498,1114,0,2,1100.0
2026-09-22T09:04:20.762092+00:00,80170.423410547,1114,0,2,1100.0
2026-09-22T09:04:21.762323+00:00,80171.423641132,1114,0,2,1100.0
2026-09-22T09:04:22.762541+00:00,80172.423861105,1114,0,2,1100.0
2026-09-22T09:04:23.762821+00:00,80173.424140782,1114,0,2,1100.0
2026-09-22T09:04:24.762996+00:00,80174.424316306,1114,0,2,1100.0
2026-09-22T09:04:25.763211+00:00,80175.424528953,1114,0,2,1100.0
2026-09-22T09:04:26.763458+00:00,80176.424777956,1114,0,2,1100.0
2026-09-22T09:04:27.763669+00:00,80177.424987524,1114,0,2,1100.0
2026-09-22T09:04:28.763866+00:00,80178.425186017,1114,0,2,1100.0
2026-09-22T09:04:29.764086+00:00,80179.425406394,1114,0,2,1100.0
2026-09-22T09:04:30.764335+00:00,80180.425654693,1114,0,2,1100.0
2026-09-22T09:04:31.764546+00:00,80181.425866056,1114,0,2,1100.0
2026-09-22T09:04:32.764805+00:00,80182.426124026,1114,0,2,1100.0
2026-09-22T09:04:33.765006+00:00,80183.426325603,1114,0,2,1100.0
2026-09-22T09:04:34.765188+00:00,80184.426507886,1114,0,2,1100.0
2026-09-22T09:04:35.765372+00:00,80185.426691816,1114,0,2,1100.0
2026-09-22T09:04:36.765651+00:00,80186.42696482,1114,0,2,1100.0
2026-09-22T09:04:37.765857+00:00,80187.427177759,1114,0,2,1100.0
2026-09-22T09:04:38.766081+00:00,80188.427401686,1114,0,2,1100.0
2026-09-22T09:04:39.766246+00:00,80189.427568039,1116,0,2,1102.0
2026-09-22T09:04:40.766482+00:00,80190.427800524,1118,4,2,1104.0
2026-09-22T09:04:41.766741+00:00,80191.42806036,1118,4,2,1104.0
2026-09-22T09:04:42.766966+00:00,80192.428283335,1118,4,2,1104.0
2026-09-22T09:04:43.767173+00:00,80193.428492917,1118,3,2,1104.0
2026-09-22T09:04:44.767379+00:00,80194.428699127,1118,4,2,1104.0
2026-09-22T09:04:45.767540+00:00,80195.428859238,1118,4,2,1104.0
2026-09-22T09:04:46.767747+00:00,80196.429067319,1118,0,2,1104.0
2026-09-22T09:04:47.767937+00:00,80197.42925596,1118,0,2,1104.0
2026-09-22T09:04:48.768150+00:00,80198.429469314,1118,0,2,1104.0
2026-09-22T09:04:49.768359+00:00,80199.42967772,1118,0,2,1102.0
2026-09-22T09:04:50.768591+00:00,80200.429907431,0,0,0,0
2026-09-22T09:04:51.768819+00:00,80201.430137266,0,0,0,0
2026-09-22T09:04:52.769034+00:00,80202.4303531,0,0,0,0
2026-09-22T09:04:53.769265+00:00,80203.430583304,0,0,0,0
2026-09-22T09:04:54.769475+00:00,80204.43079565,0,0,0,0
2026-09-22T09:04:55.769752+00:00,80205.431069089,0,0,0,0
2026-09-22T09:04:56.770059+00:00,80206.431376576,0,0,0,0
2026-09-22T09:04:57.770249+00:00,80207.431569308,0,0,0,0
2026-09-22T09:04:58.770447+00:00,80208.431766918,0,0,0,0
2026-09-22T09:04:59.770670+00:00,80209.431989455,0,0,0,0
2026-09-22T09:05:00.770895+00:00,80210.432215162,0,0,0,0
2026-09-22T09:05:01.771102+00:00,80211.432421523,0,0,0,0
2026-09-22T09:05:02.771332+00:00,80212.432649071,0,0,0,0
2026-09-22T09:05:03.771497+00:00,80213.432816627,0,0,0,0
2026-09-22T09:05:04.771749+00:00,80214.43306869,0,0,0,0
2026-09-22T09:05:05.771969+00:00,80215.433285809,0,0,0,0
2026-09-22T09:05:06.772136+00:00,80216.433456286,0,0,0,0
2026-09-22T09:05:07.772300+00:00,80217.43362152,0,0,0,0
2026-09-22T09:05:08.772521+00:00,80218.433841552,0,0,0,0
2026-09-22T09:05:09.772774+00:00,80219.434093715,0,0,0,0
2026-09-22T09:05:10.772999+00:00,80220.434316072,0,0,0,0
2026-09-22T09:05:11.773220+00:00,80221.434537813,0,0,0,0
2026-09-22T09:05:12.773439+00:00,80222.434758476,0,0,0,0
2026-09-22T09:05:13.773720+00:00,80223.434997079,0,0,0,0
2026-09-22T09:05:14.773896+00:00,80224.435215116,0,0,0,0
2026-09-22T09:05:15.774095+00:00,80225.435414391,0,0,0,0
2026-09-22T09:05:16.774288+00:00,80226.435609152,0,0,0,0
2026-09-22T09:05:17.774501+00:00,80227.435819911,0,0,0,0
2026-09-22T09:05:18.774751+00:00,80228.436071296,0,0,0,0
